# {"t_start": 1558624500.1182334, "env_id": "HalfCheetah-v3"} 
r,l,t
2165.814728,1000,5010.894243
1604.390452,1000,5013.318443
1323.996957,1000,5018.959651
1697.898062,1000,5021.478596
1679.052287,1000,5027.145197
1707.240829,1000,5029.363545
1272.166546,1000,5034.873327
1581.655864,1000,5037.308398
2062.223862,1000,5042.788661
1485.398632,1000,5045.138537
1762.118263,1000,5050.752339
2496.315929,1000,5053.031363
1934.652434,1000,5058.650217
879.553214,1000,5060.84306
1542.737497,1000,5066.424753
989.311949,1000,5068.903515
2280.714337,1000,5074.490753
1414.643329,1000,5076.986578
1562.312782,1000,5082.694685
884.940461,1000,5085.109613
2188.956958,1000,5090.610373
2402.545802,1000,5092.973238
996.030509,1000,5098.605844
1000.473636,1000,5100.880499
1635.455744,1000,5106.562442
1850.489324,1000,5108.895407
1883.222624,1000,5114.356793
2169.200717,1000,5116.65692
2486.782578,1000,5122.018426
2027.732284,1000,5124.260463
2041.93086,1000,5129.736479
1961.456036,1000,5132.084661
2026.42786,1000,5137.668677
1446.173711,1000,5139.89706
2639.134572,1000,5145.402369
1354.400718,1000,5147.647325
1007.494965,1000,5153.020468
1217.249039,1000,5155.296535
1433.066739,1000,5160.907633
1966.228206,1000,5163.367641
1512.837428,1000,5169.088627
1681.974532,1000,5171.587456
2310.157918,1000,5177.163295
1703.031661,1000,5179.382947
2127.638012,1000,5185.009534
1562.501577,1000,5187.449202
1196.781814,1000,5192.945205
2070.423632,1000,5195.07027
1483.301804,1000,5200.747715
1249.451224,1000,5203.164127
2001.14743,1000,5208.820186
2757.175458,1000,5211.00383
1605.831191,1000,5216.718009
1096.562997,1000,5219.140537
2102.515516,1000,5224.749997
1719.840519,1000,5227.107752
1308.127709,1000,5232.608325
1579.179447,1000,5235.107649
1619.057595,1000,5240.715669
1669.096966,1000,5243.036604
1508.970994,1000,5248.532169
1567.332551,1000,5250.856231
1407.01635,1000,5256.494433
2282.098268,1000,5258.917541
1354.433965,1000,5264.627888
1669.946029,1000,5266.879185
1733.131647,1000,5272.608616
2340.009796,1000,5274.934154
1589.209414,1000,5280.6083
2257.377611,1000,5282.909447
1549.339495,1000,5288.600316
2009.424068,1000,5291.058591
1581.96769,1000,5296.838585
1244.440025,1000,5299.091516
1051.604297,1000,5304.683827
2036.03777,1000,5307.041245
1537.560354,1000,5312.806256
1520.077552,1000,5315.037894
2322.422072,1000,5320.736492
2420.488422,1000,5322.945021
1859.872581,1000,5328.62549
2280.890289,1000,5330.921669
1923.271687,1000,5336.550762
1717.418247,1000,5338.941161
1881.702346,1000,5344.636916
1791.881476,1000,5346.964214
1627.132087,1000,5352.60918
1078.066544,1000,5354.986329
1653.012693,1000,5360.602354
1531.586835,1000,5363.011644
2085.789526,1000,5368.735273
1158.197563,1000,5371.122269
930.171843,1000,5376.85031
978.846668,1000,5379.182053
895.616039,1000,5384.878571
1544.184305,1000,5387.376757
